measurement_concept_id,omop_measurement_name,collapsed_measurement,mapping_status,n_mapped_test_type_cds,mapped_test_type_cds,summed_internal_count,notes
3000905,Leukocytes [#/volume] in Blood by Automated count,WBC,mapped,1,WBC,43178,
3000963,Hemoglobin [Mass/volume] in Blood,Hemoglobin,mapped,1,HGB,43174,
3003785,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,CEA,mapped,1,CEA,443,
3004249,Systolic blood pressure,Systolic blood pressure,unmapped,0,,,No confident match found in unique_lab_ids.csv.
3004327,Lymphocytes [#/volume] in Blood by Automated count,Lymphocytes absolute,mapped,4,ALYMP | ALYMPH | ALYMPHS | MALYM,44007,
3004501,Glucose [Mass/volume] in Serum or Plasma,Glucose,mapped,2,GLU | PGLU,45226,
3006906,Calcium [Mass/volume] in Serum or Plasma,Calcium,mapped,1,CA,45234,
3006923,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,ALT,mapped,1,SGPT,47045,
3007220,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,Creatine kinase,mapped,1,CPK,843,
3008598,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,Free T4,mapped,3,FREET4 | FRT4 | FRT4M,1425,
3008893,Testosterone [Mass/volume] in Serum or Plasma,Testosterone,mapped,4,TES | TESTT | TOTTES | TTEST,28394,
3009201,Thyrotropin [Units/volume] in Serum or Plasma,TSH,mapped,2,TSH | TSH3,3571,
3009306,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,AFP,mapped,2,AFPC | AFPTM,48,
3009744,MCHC [Entitic Mass/volume] in Red Blood Cells by Automated count,MCHC,mapped,1,MCHC,43158,
3012030,MCH [Entitic mass] by Automated count,MCH,mapped,1,MCH,43158,
3012888,Diastolic blood pressure,Diastolic blood pressure,unmapped,0,,,No confident match found in unique_lab_ids.csv.
3013429,Basophils [#/volume] in Blood by Automated count,Basophils absolute,mapped,4,ABASO | ABASOP | ABASOS | MABASO,43729,
3013466,aPTT in Blood by Coagulation assay,aPTT,mapped,1,PTT,2078,
3013603,Prostate specific Ag [Mass/volume] in Serum or Plasma,PSA,mapped,4,PSA | PSAMON | PSAR | PSAT,50523,
3013650,Neutrophils [#/volume] in Blood by Automated count,Neutrophils absolute,mapped,5,ANCAB | ANEU | ANEUT | ANEUTS | DMANUT,44725,
3013682,Urea nitrogen [Mass/volume] in Serum or Plasma,BUN,mapped,2,BUN | PBUN,46205,
3013707,Erythrocyte sedimentation rate [Velocity] in Red Blood Cells by Westergren method,ESR,mapped,2,ESR | ESRB,617,
3013721,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,AST,mapped,1,SGOT,47088,
3014576,Chloride [Moles/volume] in Serum or Plasma,Chloride,mapped,1,CL,38480,
3015632,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",CO2,mapped,1,CO2,38481,
3016407,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,Fibrinogen,mapped,1,FIB,209,
3016436,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma,LDH,mapped,1,LDH,5175,
3016723,Creatinine [Mass/volume] in Serum or Plasma,Creatinine,mapped,1,CRE,47159,
3019550,Sodium [Moles/volume] in Serum or Plasma,Sodium,mapped,1,PNA,6592,
3019897,Erythrocyte [DistWidth] in Red Blood Cells by Automated count,RDW,mapped,1,RDW,42630,
3020416,Erythrocytes [#/volume] in Blood by Automated count,RBC,mapped,1,RBC,43158,
3020460,C reactive protein [Mass/volume] in Serum or Plasma,CRP,mapped,4,CRP | CRPRTN | CRPT | HSCRP,426,
3020509,Albumin/Globulin [Mass Ratio] in Serum or Plasma,Albumin/globulin ratio,mapped,1,AGRTO,632,
3020630,Protein [Mass/volume] in Serum or Plasma,Total protein,mapped,1,TP,47227,
3020891,Body temperature,Body temperature,unmapped,0,,,No confident match found in unique_lab_ids.csv.
3022217,INR in Platelet poor plasma by Coagulation assay,INR,mapped,2,PTI | PTINR,2960,
