TEST_NAME,RESULT_UOM_NM,count
TP (TOTAL PROTEIN),g/dL,54135
CRE (CREATININE),mg/dL,52825
ALB (ALBUMIN),g/dL,52363
CA (CALCIUM),mg/dL,51299
RDW,%,48201
ANION (ANION GAP),mmol/L,45342
GLOB (GLOBULIN),g/dL,45162
SGOT (AST),U/L,44337
SGPT (ALT),U/L,44293
TBILI (TOTAL BILIRUBIN),mg/dL,44283
ALKP (ALKALINE PHOSPHATASE),U/L,44242
K (POTASSIUM),mmol/L,44236
SODIUM,mmol/L,43609
CL (CHLORIDE),mmol/L,43523
GFR (EGFR),mL/min/1.73m2,43383
HCT,%,42962
MCH,pg,42960
MCHC,g/dL,42960
MCV,fL,42960
GLU (GLUCOSE),mg/dL,42773
BUN,mg/dL,42757
HGB,g/dL,42633
CO2,mmol/L,42604
PLT,K/uL,42040
RBC,M/uL,42035
WBC,K/uL,42034
NRBCA (ABSOLUTE NRBC),K/uL,40768
NRBCPCT (NRBC),/100 WBCs,40766
PSAMON (PROSTATE SPECIFIC AG),ng/mL,40586
LYMP (LYMPHS),%,39672
ALYMP (ABSOLUTE LYMPHS),K/uL,39672
ANEU (ABSOLUTE NEUTS),K/uL,39672
NEUT (NEUTS),%,39672
AMONS (ABSOLUTE MONOS),K/uL,39670
MON (MONOS),%,39670
EOSP (EOS),%,39653
AEOSN (ABSOLUTE EOS),K/uL,39653
ABASOP (ABSOLUTE BASOS),K/uL,39648
BASOS,%,39648
MVP (MPV),fl,39150
TES (TESTOSTERONE),ng/dL,22855
MG (MAGNESIUM),mg/dL,12883
PHOS (PHOSPHORUS),mg/dL,10499
LYMPH (LYMPHS),%,10233
PSAR (PROSTATE SPEC ANTIGEN),ng/mL,10146
IMMGRANPCT (% IMMATURE GRANS),%,9653
IMMGRAN (ABS IMMATURE GRANS),K/uL,9653
ALK (ALK P`TASE),U/L,8790
SGOT,U/L,8769
SGPT,U/L,8765
EGFR,mL/min/1.73m2,8663
PBUN (BUN),mg/dL,8609
GLOB (GLOBULIN),G/DL,8192
"TBILI (BILI, TOTAL)",mg/dL,7770
EOS,%,7688
PGLU (GLUCOSE),mg/dL,7525
PK (POTASSIUM),mmol/L,7502
HCT (HEMATOCRIT),%,7455
PNA (SODIUM),mmol/L,7437
PCL (CHLORIDE),mmol/L,7432
PLCO2 (CO2),mmol/L,7432
DBILI (DIRECT BILIRUBIN),mg/dL,7164
HGB (HEMOGLOBIN),GM/DL,7047
WBC (WBC COUNT),K/UL,7046
RBC (RBC COUNT),M/UL,7043
PLT (PLATELET),K/UL,7043
MCH,PG,7043
MCV,FL,7043
ALYMPH (ABSOLUTE LYMPHS),K/UL,6602
MONO,%,6588
AMONO (ABSOLUTE MONOS),K/UL,6537
AEOS (ABSOLUTE EOS),K/UL,6446
ABASO (ABSOLUTE BASOS),K/UL,6393
BASO,%,6393
ANEUT (ABSOLUTE NEUTS),K/UL,6299
NEUT (NEUTROPHILS),%,6299
BLAST (BLASTS),%,6000
MCHC,%,5973
LDH,U/L,5973
"TES (TESTOSTERONE, TOTAL)",ng/dL,4087
ANEUT (ABSOLUTE NEUTS),K/uL,3629
ALYMPH (ABSOLUTE LYMPHS),K/uL,3628
AMONO (ABSOLUTE MONOS),K/uL,3623
TSH,uIU/mL,3429
TRIG (TRIGLYCERIDES),mg/dL,3120
CHOL (CHOLESTEROL),mg/dL,3088
QTINT (QT INTERVAL),ms,2972
QRSAXIS (QRS DURATION),ms,2972
R (R AXIS),degrees,2972
TWAVEAXIS (T WAVE AXIS),degrees,2972
QTCINT (QTC INTERVAL),ms,2972
VR (VENTRICULAR RATE EKG/MIN),BPM,2972
ARATE (ATRIAL RATE),BPM,2956
VLDL,mg/dL,2949
PRINT (PR INTERVAL),ms,2808
PAXIS (P AXIS),degrees,2782
PT,sec,2666
HDL,mg/dL,2564
LDLCAL (CALCULATED LDL),mg/dL,2562
MVP (MPV),fL,2516
POLY (NEUTS (MANUAL)),%,2393
MONO (MONOS),%,2383
"DBILI (BILI, DIRECT)",mg/dL,2294
EO (EOSINOPHIL),%,2266
AEO (ABSOLUTE EOS),K/uL,2265
BASO (BASOPHIL),%,2240
ABASO (ABSOLUTE BASO),K/uL,2240
URIC (URIC ACID),mg/dL,2178
BLASTS,%,2167
ABLAST (ABSOLUTE BLASTS),K/uL,2163
UASRBC (RBC),/hpf,2105
UASWBC (WBC),/hpf,2105
TESTT (TOTAL TESTOSTERONE),ng/dL,1834
PTT (APTT),sec,1810
AMY (AMYLASE),U/L,1694
PSA (PSA SCREENING),ng/mL,1683
PSAR (PROSTATE SPECIFIC AG),ng/mL,1640
PSAMON (PSA MONITORING),ng/mL,1515
ALK (ALKALINE PHOSPHATASE),U/L,1504
UASMUC (MUCUS),/hpf,1470
FREET4 (FREE T4),ng/dL,1459
PSA (PSA MONITORING (OLD)),ng/mL,1407
GLU (GLUCOSE RANDOM),mg/dL,1373
GHBA1C (HEMOGLOBIN A1C),%,1332
SGPT (ALANINE AMINOTRANSFERASE),U/L,1281
BAND (BANDS),%,1281
MPV,fl,1261
NRBCMI (NUCLEATED RBC MANUAL),/100 WBCs,1261
NRBCAB (Absolute NRBC),K/uL,1261
ABANDS (ABSOLUTE BANDS),K/uL,1254
AEOS (ABSOLUTE EOS),K/uL,1242
MONO (Monos),%,1242
NEUT (Neuts),%,1242
ABASO (ABSOLUTE BASOS),K/uL,1242
BASO (Basos),%,1242
NRBCP (Nucleated RBC),/100 WBCs,1241
GGT,U/L,1240
UASBACT (BACTERIA),/hpf,1204
LIPS (LIPASE),U/L,1125
ANCAB (ABSOLUTE NEUTROPHIL COUNT),K/uL,1109
AMETAS (ABSOLUTE METAS),K/uL,1092
META (METAS),%,1074
MCHC,gm/dL,1070
ABLST (ABSOLUTE BLASTS),K/UL,1058
CO2 (CARBON DIOXIDE),mmol/L,1002
"TBILI (BILI, TOTAL)",MG/DL,983
PLT,10*3/uL,927
WBC,10*3/uL,924
RBC,10*6/uL,924
RDW (RDW-CV),%,923
"TOTTES (TESTOSTERONE, TOTAL)",ng/dL,923
BUN (BLOOD UREA NITROGEN),mg/dL,921
CRE (SERUM CREATININE),mg/dL,921
NRBCA (NRBC ABS AUTO),10*3/uL,919
NRBCPCT (NRBC PCT AUTO),%,919
SGOT (ASPARTATE AMINO TRANSFERASE),U/L,916
TBILI (BILIRUBIN TOTAL),mg/dL,916
ALB (ALBUMIN LEVEL),g/dL,916
ANEUTS (NEUT ABS AUTO),10*3/uL,915
FER (FERRITIN),ug/L,894
ABASOS (BASO ABS AUTO),10*3/uL,834
POLYS (NEUT PCT AUTO),%,834
EOS (EOS PCT AUTO),%,834
AMONOS (MONO ABS AUTO),10*3/uL,834
IMMGRAN (I.G. PCT AUTO),%,834
ALYMPHS (LYMPH ABS AUTO),10*3/uL,834
IMMGRAN (I.G. ABS AUTO),10*3/uL,834
AEOS (EOS ABS AUTO),10*3/uL,834
MONOS (MONO PCT AUTO),%,834
BASOS (BASO PCT AUTO),%,834
LYMPHS (LYMP PCT AUTO),%,834
PSA (PROSTATE SPECIFIC ANTIGEN),ng/mL,814
FE (IRON),ug/dL,790
URBC (RBCS IN URINE),/HPF,785
UWBC (WBC IN URINE),/HPF,781
MYELO (MYELOS),%,780
AMYELOS (ABSOLUTE MYELOS),K/uL,778
MGLU (CALC MEAN BLD GLUC),mg/dL,760
MPV (MEAN PLT VALUE),fL,751
NRBCP (NUCLEATED RBCS),/100 WBC,728
"DBILI (BILI, DIRECT)",MG/DL,715
ROARSESSGIVN (RAD ONC ARIA REFERENCE POINT SESSION DOSAGE GIVEN),Gy,714
ROARDOSETODT (RAD ONC ARIA REFERENCE POINT DOSAGE GIVEN TO DATE),Gy,714
CPK (CREATINE KINASE),U/L,697
TES (TESTOSTERONE TOTAL),ng/dL,694
VITDT (25 OH VIT D (TOTAL)),ng/mL,670
CRE (CREATININE),MG/DL,613
PT,SECS,590
TIBC (IRON BINDING CAPACITY),ug/dL,581
ALB (ALBUMIN),GM/DL,577
PBUN (BUN),MG/DL,545
IGG (IMMUNOGLOBULIN G),mg/dL,542
CRE (CREATININE | CDR EHS LAB LRR),mg/dL,519
CA (CALCIUM | CDR EHS LAB LRR),mg/dL,518
K (POTASSIUM | CDR EHS LAB LRR),mmol/L,518
GFR (ESTIMATED GFR | CDR EHS LAB LRR),mL/min/1.73m^2,518
CEA,ng/mL,517
GLU (GLUCOSE | CDR EHS LAB LRR),mg/dL,517
ANION (ANION GAP | CDR EHS LAB LRR),mmol/L,517
CO2 (CO2 | CDR EHS LAB LRR),mmol/L,517
CL (CHLORIDE | CDR EHS LAB LRR),mmol/L,517
BUN (BUN | CDR EHS LAB LRR),mg/dL,517
SODIUM | CDR EHS LAB LRR,mmol/L,517
UUCRE (URINE CREATININE),mg/dL,512
GFRPOC (EGFR),mL/min/1.73m2,503
IGA,mg/dL,503
CREATPOC (CREATININE),mg/dl,503
IGM (IMMUNOGLOBULIN M),mg/dL,499
ALKP (ALK PHOS | CDR EHS LAB LRR),U/L,492
SGPT (ALT | CDR EHS LAB LRR),U/L,492
TP (TOTAL PROTEIN | CDR EHS LAB LRR),g/dL,492
TBILI (TOTAL BILIRUBIN | CDR EHS LAB LRR),mg/dL,492
ALB (ALBUMIN | CDR EHS LAB LRR),g/dL,492
SGOT (AST | CDR EHS LAB LRR),U/L,492
FESAT (TRANSFERRIN SATURAT.),%,485
"TUTPMGDL (URINE PROTEIN, MG/DL)",mg/dL,469
PK (POTASSIUM),MMOL/L,468
PCL (CHLORIDE),MMOL/L,468
PNA (SODIUM),MMOL/L,468
PLCO2 (CO2),MMOL/L,468
RETIC (RETIC (%)),%,467
B12 (VITAMIN B12),pg/mL,460
LIPASE,U/L,460
"CL (CL, CHLORIDE)",mmol/L,453
"NA,SODIUM",mmol/L,453
"CO2 (CO2, CARBON DIOXIDE)",mmol/L,453
CA (CALCIUM),mg/dl,453
"TBILI (BILIRUBIN,TOTAL)",mg/dl,449
SGOT (AST/SGOT),U/L,449
ALB (ALBUMIN),g/dl,449
ARETIC (RETIC (ABSOLUTE)),M/uL,449
"TP (TP, PROTEIN,TOTAL)",g/dL,447
UURO (UROBILINOGEN),mg/dL,445
UKETON (KETONES),mg/dL,445
UGLUCO (GLUCOSE),mg/dL,445
UBILE (BILI),mg/dL,445
UALB (PROTEIN),mg/dL,445
UBACT (BACTERIA),/HPF,444
ROAPPDOSEFRC (RAD ONC ARIA PLAN PRESCRIBED DOSE PER FRACTION),Gy,437
ROAPTDOSE (RAD ONC ARIA PLAN TOTAL PRESCRIBED DOSE),cGy,437
CA (CALCIUM),MG/DL,427
RETCP (RETIC (%)),%,412
"MCHC (MEAN CORPUSCULAR HGB,CONCENT)",g/dl,409
MCH (MEAN CORPUSCULAR HEMOGLOBIN),pg,409
HGB (HEMOGLOBIN),g/dl,409
RDW (RED CELL DISTRIBUTION WIDTH),%,409
MCV (MEAN CORPUSCULAR VOLUME),fl,409
RBC (RED BLOOD COUNT),X10 6/uL,409
TSH,mIU/L,404
HDLP (HDL),mg/dL,403
PGLU (GLUCOSE),MG/DL,398
"VTP (URINE PROTEIN, mg/dL)",mg/dL,389
PLT (PLATELET COUNT),X10 3/uL,382
WBC (WHITE BLOOD COUNT),X10 3/uL,382
"BUN (BUN, UREA NITROGEN BLOOD)",mg/dl,364
ALB (ALBUMIN | CDR MRMC LAB LRR),g/dL,361
ACTH,pg/mL,358
NRBC (NUCLEATED RBC%),/100 WBC,358
BUN (BLOOD UREA NITROGEN | CDR MRMC LAB LRR),mg/dL,356
TP (TOTAL PROTEIN | CDR MRMC LAB LRR),g/dL,354
SGOT (ASPARTATE AMINO TRANSF (AST/SGOT) | CDR MRMC LAB LRR),U/L,354
TBILI (TOTAL BILIRUBIN | CDR MRMC LAB LRR),mg/dL,354
SGPT (ALANINE AMINOTRANSFERASE (ALT/SGPT) | CDR MRMC LAB LRR),U/L,354
HCAST (HYALINE CAST),/lpf,354
CRE (CREATININE | CDR MRMC LAB LRR),mg/dL,354
K (POTASSIUM LEVEL | CDR MRMC LAB LRR),mmol/L,343
CA (CALCIUM LEVEL | CDR MRMC LAB LRR),mg/dL,342
CO2 (CARBON DIOXIDE LEVEL | CDR MRMC LAB LRR),mmol/L,341
UCRS (URINE CRYSTALS),/HPF,341
UEPI (URINE EPITHELIAL),/HPF,341
CL (CHLORIDE LEVEL | CDR MRMC LAB LRR),mmol/L,341
SODIUM LEVEL | CDR MRMC LAB LRR,mmol/L,341
ANION (ANION GAP | CDR MRMC LAB LRR),mmol/L,341
UCAS (URINE CASTS),/LPF,341
GLU (GLUCOSE LEVEL | CDR MRMC LAB LRR),mg/dL,341
HGB,10*6/uL,339
ESRB (SED RATE),MM/HR,339
RETCA (RETIC (ABSOLUTE)),M/UL,337
UURO (UROBILINOGEN),EHRL. UNITS/DL,337
UMUC (URINE MUCUS),/HPF,337
LH (LUTEINIZING HORMONE),IU/L,334
CLDL (LDL (CALCULATED)),mg/dL,332
EOS (EOSINOPHILS %),%,330
VCRE (URINE CREATININE     (May be o),mg/dL,330
LYMPHS (LYMPHOCYTE %),%,330
PLT (PLATELET COUNT | CDR MRMC HEM LRR),10*3/uL,327
RDW (RED CELL DISTRIBUTION WIDTH | CDR MRMC HEM LRR),%,327
MCHC (MEAN CORPUSCULAR HEMOGLOBIN CONCENT | CDR MRMC HEM LRR),g/dL,327
MCH (MEAN CORPUSCULAR HEMOGLOBIN | CDR MRMC HEM LRR),pg,327
HCT (HEMATOCRIT | CDR MRMC HEM LRR),%,327
HGB (HEMOGLOBIN | CDR MRMC HEM LRR),g/dL,327
RBC (RED BLOOD COUNT | CDR MRMC HEM LRR),10*6/uL,327
WBC (WHITE BLOOD COUNT | CDR MRMC HEM LRR),10*3/uL,327
ALKP (ALKALINE PHOSPHATASE | CDR MRMC LAB LRR),U/L,324
ANEUTS (ABSOLUTE NEUTROPHIL | CDR MRMC HEM LRR),10*3/uL,317
PTT,SECS,315
KAPFLC (FREE KAPPA LT CHAIN),mg/L,311
LFLC (FREE LAMBDA LT CHAIN),mg/L,311
MVP (MEAN PLATELET VOLUME | CDR MRMC HEM LRR),fL,306
POLY,%,303
POLYA (ABS POLYS),K/UL,303
T3TM (TOTAL T3),ng/dL,300
CA199 (CA 19-9),U/mL,300
CRPT (C REACTIVE PROTEIN),mg/L,296
ABASOP (BASOPHILS # (AUTO)),X10 3/uL,284
ALYMP (LYMPHOCYTES # (AUTO)),X10 3/uL,284
BASOS (BASOPHILS % (AUTO)),%,284
MONOS (MONOCYTES % (AUTO)),%,284
AEOSN (EOSINOPHILS # (AUTO)),X10 3/uL,284
ANEU (NEUTROPHILS # (AUTO)),X10 3/uL,284
IMMGRAN (IMMATURE GRANULOCYTES % (AUTO)),%,284
IMMGRAN (IMMATURE GRANULOCYTES # (AUTO)),X10 3/uL,284
POLYS (NEUTROPHILS % (AUTO)),%,284
AMONS (MONOCYTES # (AUTO)),X10 3/uL,284
PSA (PROSTATE SPECIFIC ANTIGEN),ng/ml,274
HBA1C1 (HEMOGLOBIN A1C),%,271
IMMGRAN (IMMATURE GRANULOCYTES # | CDR MRMC HEM LRR),10*3/uL,269
IMMGRANPCT (IMMATURE GRANULOCYTES % | CDR MRMC HEM LRR),%,269
ABASOS (ABSOLUTE BASOPHILS (CBC) | CDR MRMC HEM LRR),10*3/uL,267
BASOS (BASOPHILS % | CDR MRMC HEM LRR),%,267
MONOS (MONOCYTES % | CDR MRMC HEM LRR),%,267
AEOS (EOSINOPHILS % | CDR MRMC HEM LRR),%,267
ALYMPHS (ABSOLUTE LYMPHOCYTES (CBC) | CDR MRMC HEM LRR),10*3/uL,267
AEOS (ABSOLUTE EOSINOPHILS (CBC) | CDR MRMC HEM LRR),10*3/uL,267
POLYS (NEUTROPHILS % | CDR MRMC HEM LRR),%,267
LYMPHS (LYMPHOCYTES % | CDR MRMC HEM LRR),%,267
GGTL (GGTP),U/L,264
UASSQUA (SQUAMOUS CELLS),/hpf,259
"M125VD (1,25 (OH)2 VITAMIN D)",pg/mL,255
