ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
443392	1077200	5	7
1344905	35784833	3	3
1397599	35784597	3	5
1397599	43716104	2	3
1397599	40712332	3	4
1397599	35786858	3	5
1397599	588377	3	4
1344905	42921292	2	3
1397599	36778684	3	3
1344905	43773801	3	3
1397599	36052948	2	3
1344905	43864109	3	4
1397599	44170109	2	2
1397599	43862409	3	4
1344905	43791582	3	4
1397599	43734194	2	3
1397599	41434169	3	4
1344905	35781173	3	5
1344905	43721631	3	4
1397599	21132660	2	3
1344905	35780989	3	5
1397599	41191733	3	4
1344905	35782726	3	5
1397599	36064541	1	1
1344905	43718270	3	4
1344905	43766966	1	1
1397599	43647859	2	3
1344905	43775623	2	2
1397599	43647860	2	3
1397599	43275424	2	3
1344905	35783794	3	5
1344905	41402448	3	4
1344905	43593876	3	4
1397599	35155014	2	3
1397599	41097809	3	4
1397599	36064548	3	4
1344905	40737818	1	1
1344905	43663767	3	3
1344905	35781170	3	5
1344905	43771388	3	4
1344905	36278955	3	4
1344905	2009504	3	4
1344905	40714547	3	4
1397599	35781743	3	4
1344905	43152967	3	4
1397599	35157947	3	4
1344905	43641237	3	3
1344905	35149270	3	4
1344905	41374847	2	3
1344905	42919992	2	3
1344905	41374846	3	4
1344905	41390446	2	3
1397599	2026310	3	4
1397599	43847694	2	3
1397599	36064562	1	1
1344905	784417	3	5
1397599	36281539	3	4
1344905	41401787	3	5
1397599	590361	3	5
1397599	42480296	2	3
1344905	43153844	3	3
1397599	36064543	2	3
1344905	43753370	3	3
1344905	2904030	3	3
1344905	43755766	3	3
1344905	35783796	3	4
1344905	589987	2	2
1344905	36780684	3	4
1397599	21098656	3	4
1344905	41235669	1	1
1344905	41402357	2	3
1344905	43641230	1	1
1397599	43856113	2	3
1344905	43215981	3	3
1344905	43789242	3	4
1344905	43518882	2	3
1344905	35782747	3	3
1344905	43164377	2	2
1344905	40942300	3	4
1397599	36785425	2	2
1344905	43839157	3	3
1397599	43847693	3	4
1344905	41207925	1	2
1344905	41373874	3	4
1344905	43197286	3	3
1397599	43747892	2	3
1397599	41420458	3	4
1397599	41191735	3	4
1344905	41082630	1	2
