concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
3018677	aPTT in Platelet poor plasma by Coagulation assay	Measurement	LOINC	Lab Test	S	14979-9	19700101	20991231	
3037551	Cancer Ag 125 [Units/volume] in Serum or Plasma	Measurement	LOINC	Lab Test	S	10334-1	19700101	20991231	
3007273	Prostate specific Ag [Presence] in Tissue by Immune stain	Measurement	LOINC	Lab Test	S	10508-0	19700101	20991231	
3027970	Globulin [Mass/volume] in Serum by calculation	Measurement	LOINC	Lab Test	S	10834-0	19700101	20991231	
3019762	Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.05 mIU/L	Measurement	LOINC	Lab Test	S	11579-0	19700101	20991231	
3019170	Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L	Measurement	LOINC	Lab Test	S	11580-8	19700101	20991231	
3001657	Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood	Measurement	LOINC	Lab Test	S	12227-5	19700101	20991231	
3027219	Urea nitrogen [Mass/volume] in Venous blood	Measurement	LOINC	Lab Test	S	12962-7	19970903	20991231	
3013826	Glucose [Moles/volume] in Serum or Plasma	Measurement	LOINC	Lab Test	S	14749-6	19980116	20991231	
3022250	Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction	Measurement	LOINC	Lab Test	S	14804-9	19700101	20991231	
3005225	Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Pyruvate to lactate reaction	Measurement	LOINC	Lab Test	S	14805-6	19700101	20991231	
3006923	Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma	Measurement	LOINC	Lab Test	S	1742-6	19700101	20991231	
3005755	Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P	Measurement	LOINC	Lab Test	S	1743-4	19700101	20991231	
3024561	Albumin [Mass/volume] in Serum or Plasma	Measurement	LOINC	Lab Test	S	1751-7	19700101	20991231	
3020509	Albumin/Globulin [Mass Ratio] in Serum or Plasma	Measurement	LOINC	Lab Test	S	1759-0	19700101	20991231	
3009306	Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma	Measurement	LOINC	Lab Test	S	1834-1	19700101	20991231	
3002131	Prostate specific Ag [Units/volume] in Serum or Plasma	Measurement	LOINC	Lab Test	S	19195-7	19700101	20991231	
3037249	Prostate specific Ag [Moles/volume] in Serum or Plasma	Measurement	LOINC	Lab Test	S	19197-3	19700101	20991231	
3037774	Prostate specific Ag [Units/volume] in Semen	Measurement	LOINC	Lab Test	S	19198-1	19700101	20991231	
3038011	Prostate specific Ag [Mass/volume] in Semen	Measurement	LOINC	Lab Test	S	19199-9	19700101	20991231	
3002178	Prostate specific Ag [Moles/volume] in Semen	Measurement	LOINC	Lab Test	S	19200-5	19700101	20991231	
3027597	Bilirubin.direct [Mass/volume] in Serum or Plasma	Measurement	LOINC	Lab Test	S	1968-7	19700101	20991231	
3024128	Bilirubin.total [Mass/volume] in Serum or Plasma	Measurement	LOINC	Lab Test	S	1975-2	19700101	20991231	
3020460	C reactive protein [Mass/volume] in Serum or Plasma	Measurement	LOINC	Lab Test	S	1988-5	19700101	20991231	
3015377	Calcium [Moles/volume] in Serum or Plasma	Measurement	LOINC	Lab Test	S	2000-8	19700101	20991231	
3015632	Carbon dioxide, total [Moles/volume] in Serum or Plasma	Measurement	LOINC	Lab Test	S	2028-9	19700101	20991231	
3003785	Carcinoembryonic Ag [Mass/volume] in Serum or Plasma	Measurement	LOINC	Lab Test	S	2039-6	19700101	20991231	
3027484	Hemoglobin [Mass/volume] in Blood by calculation	Measurement	LOINC	Lab Test	S	20509-6	19700101	20991231	
3009542	Hematocrit [Volume Fraction] of Blood by calculation	Measurement	LOINC	Lab Test	S	20570-8	19700101	20991231	
3014576	Chloride [Moles/volume] in Serum or Plasma	Measurement	LOINC	Lab Test	S	2075-0	19700101	20991231	
3007220	Creatine kinase [Enzymatic activity/volume] in Serum or Plasma	Measurement	LOINC	Lab Test	S	2157-6	19700101	20991231	
3016723	Creatinine [Mass/volume] in Serum or Plasma	Measurement	LOINC	Lab Test	S	2160-0	19700101	20991231	
