ancestor_concept_id	descendant_concept_id	min_levels_of_separation	max_levels_of_separation
443392	1077200	5	7
443392	1077456	6	9
443392	1075530	2	4
443392	1077132	5	7
443392	1074862	6	9
443392	4095317	4	5
443392	1074874	6	8
443392	1075519	4	4
443392	4110566	6	7
443392	1074868	4	5
443392	1076192	5	8
443392	4094859	4	5
443392	44792338	4	5
443392	4258546	4	8
443392	1075553	3	4
443392	1077362	5	7
443392	36715851	3	7
443392	37396745	3	4
443392	4338760	4	4
443392	4116198	2	2
443392	1075568	5	7
443392	1076217	3	3
443392	1075552	3	4
443392	1074887	4	5
443392	1076166	5	7
443392	37166216	4	7
443392	437805	5	7
21601387	723186	3	3
443392	1077134	5	7
443392	1074871	5	6
443392	1074865	4	7
443392	1076227	2	2
443392	1075572	5	7
443392	35610249	4	5
443392	1077422	4	6
443392	1075593	2	4
443392	609279	4	5
443392	37311469	4	5
443392	436059	3	3
443392	1075879	4	4
443392	4095590	4	4
443392	40486566	3	5
443392	40486084	4	6
21601387	723174	3	3
443392	1075583	5	6
443392	4299416	3	7
443392	37166331	4	8
443392	1075055	4	6
21601387	723259	3	3
443392	608068	2	5
443392	2106968	3	3
443392	4001329	7	7
443392	4081043	3	6
443392	35610248	4	5
443392	1077421	3	6
443392	1077126	4	7
443392	1075592	3	5
443392	1075622	5	6
443392	1075573	5	7
443392	608049	3	6
443392	1076763	5	9
443392	1075878	4	4
21601387	723255	3	3
443392	42537754	4	8
443392	602124	6	10
443392	4247356	4	5
443392	36715787	4	6
443392	608050	3	7
443392	4289091	3	7
443392	45771033	5	10
443392	602135	5	7
443392	604297	3	3
443392	36715860	3	7
443392	45768828	5	7
443392	40486214	3	5
197508	602135	3	3
443392	602692	6	7
443392	37116586	3	7
443392	602133	5	7
443392	379756	4	6
21601387	21601437	3	3
21601387	21601420	3	3
443392	619382	5	6
21601387	21601429	3	3
21601387	21601427	2	2
21601387	21601422	2	2
443392	602051	3	5
21601387	21601403	3	3
21601387	947770	3	3
443392	609065	5	5
21601387	947848	3	3
21601387	947846	3	3
443392	602097	3	4
443392	36715888	3	7
21601387	21601439	3	3
443392	602099	2	4
21601387	947885	3	3
21601387	947903	3	3
21601387	43534816	3	3
21601387	21603739	3	3
21601387	21601417	3	3
21601387	21601395	3	3
21601387	21603744	3	3
21601387	40253122	3	3
21601387	947759	3	3
21601387	21601411	3	3
21601387	947974	3	3
21601387	21601449	3	3
21601387	947899	2	2
443392	37109906	3	4
21601387	947854	2	2
443392	601147	5	5
21601387	21603745	3	3
21601387	947812	3	3
21601387	21603726	2	2
21601387	21603750	3	3
21601387	21603766	3	3
21601387	21601424	3	3
443392	609064	5	5
197508	602106	2	3
21601387	21601442	3	3
443392	607994	2	3
21601387	947761	3	3
21601387	21603807	3	3
21601387	947754	3	3
21601387	21603741	2	2
443392	36716617	3	8
443392	602028	7	8
21601387	947997	3	3
21601387	21603735	3	3
21601387	947855	3	3
21601387	947744	3	3
21601387	21601406	2	2
21601387	947936	3	3
21601387	947878	3	3
21601387	1501891	3	3
443392	37116591	2	5
21601387	947738	3	3
21601387	1123629	3	3
21601387	21603737	3	3
21601387	947764	3	3
21601387	21603730	3	3
21601387	21601396	3	3
21601387	21601447	3	3
21601387	21601435	3	3
21601387	21603803	3	3
21601387	947894	3	3
21601387	21603786	3	3
21601387	21601389	2	2
21601387	21603738	3	3
443392	602053	4	5
443392	4116076	2	6
21601387	947958	3	3
21601387	21603746	1	1
21601387	21603751	3	3
21601387	947969	3	3
21601387	40253429	3	3
21601387	947750	3	3
21601387	21601423	3	3
21601387	21603749	3	3
21601387	715876	3	3
21601387	947818	3	3
21601387	21601401	3	3
21601387	947752	3	3
35200783	36074146	2	2
443392	4102373	2	2
35200783	36074144	2	2
35200783	36074145	3	3
35200783	35201978	2	3
443392	602092	3	5
35200783	36056863	3	4
35200783	36056859	3	5
35200783	35200786	1	2
35200783	36056860	3	4
35200783	36056864	3	3
443392	609198	6	9
443392	608062	2	6
443392	618470	3	5
443392	602193	4	8
443392	601156	5	5
443392	602674	3	9
443392	4114346	3	3
443392	602093	2	5
443392	36715836	5	7
443392	602664	3	4
443392	601150	3	3
443392	4095579	3	4
443392	75488	3	3
443392	600665	3	4
443392	609197	5	8
443392	40488048	4	6
443392	601131	5	6
443392	602010	4	7
443392	4178975	2	3
443392	606199	4	6
443392	602068	6	7
443392	605453	3	4
443392	4300681	4	4
443392	37399544	3	6
443392	36676729	3	7
443392	36717182	3	9
443392	609200	6	9
443392	605468	3	8
443392	199771	3	3
443392	602104	3	7
443392	601136	5	5
443392	602006	4	7
443392	602673	3	9
443392	605475	3	5
443392	40489473	3	3
443392	609235	6	7
443392	602065	3	5
443392	40391739	4	4
443392	37116448	3	6
443392	603015	5	6
443392	602698	3	7
443392	4292379	5	8
443392	602158	4	6
443392	609201	6	9
443392	609202	5	8
443392	36715858	3	7
443392	4224745	5	8
443392	4246016	3	4
443392	602071	3	7
443392	600832	4	5
35200783	35200783	0	0
197508	197508	0	0
443392	4291454	4	7
197508	602001	3	3
443392	618683	3	6
443392	601127	4	6
443392	4177234	2	3
443392	36716485	4	5
443392	601149	5	6
443392	40493008	4	8
443392	40489405	2	5
443392	608924	4	5
443392	605815	4	7
443392	80045	3	5
443392	4246133	3	4
443392	602693	3	4
197508	602133	3	3
443392	36717566	4	6
443392	609044	4	5
443392	4247823	4	6
443392	36716502	5	10
197508	609240	2	3
443392	36717179	4	8
443392	601126	5	5
443392	602670	4	9
21601387	925195	3	3
21601387	925199	3	3
21601387	925157	3	3
21601387	925149	3	3
21601387	586694	6	7
21601387	586782	5	6
21601387	586794	5	6
21601387	586800	6	7
21601387	586841	6	7
21601387	586859	5	6
21601387	586912	6	7
21601387	586983	6	8
21601387	587030	6	7
21601387	587089	6	6
21601387	587120	6	7
21601387	587189	6	6
21601387	587364	6	7
21601387	587467	6	7
21601387	587475	6	7
21601387	587504	5	6
21601387	587569	5	6
21601387	587612	4	5
21601387	587640	6	7
21601387	587661	6	8
21601387	587690	5	6
21601387	587719	6	7
21601387	587793	6	7
21601387	587810	4	5
21601387	587860	5	6
21601387	587960	5	6
21601387	588109	6	7
21601387	588186	6	7
21601387	588195	5	6
21601387	588284	6	7
21601387	588299	5	6
21601387	588339	6	6
21601387	588377	6	7
21601387	588483	6	7
21601387	588585	5	6
21601387	588597	6	7
21601387	588649	6	7
