concept_id,concept_name,domain_id,vocabulary_id,concept_class_id,standard_concept,concept_code,valid_start_date,valid_end_date,invalid_reason
37354256,pembrolizumab-pmph 165 MG/ML,Drug,RxNorm,Clinical Drug Comp,S,2723754,20260105,20991231,
37354260,berahyaluronidase alfa / pembrolizumab Injectable Product,Drug,RxNorm,Clinical Dose Group,C,2723758,20260105,20991231,
37354261,berahyaluronidase alfa / pembrolizumab Injection,Drug,RxNorm,Clinical Drug Form,S,2723759,20260105,20991231,
37354262,berahyaluronidase alfa-pmph 2000 UNT/ML / pembrolizumab-pmph 165 MG/ML Injection,Drug,RxNorm,Clinical Drug,S,2723763,20260105,20991231,
37354264,berahyaluronidase alfa-pmph 2000 UNT/ML / pembrolizumab-pmph 165 MG/ML [Keytruda Qlex],Drug,RxNorm,Branded Drug Comp,S,2723765,20260105,20991231,
37354265,Keytruda Qlex Injectable Product,Drug,RxNorm,Branded Dose Group,C,2723766,20260105,20991231,
37354266,berahyaluronidase alfa / pembrolizumab Injection [Keytruda Qlex],Drug,RxNorm,Branded Drug Form,S,2723767,20260105,20991231,
37354267,berahyaluronidase alfa-pmph 2000 UNT/ML / pembrolizumab-pmph 165 MG/ML Injection [Keytruda Qlex],Drug,RxNorm,Branded Drug,S,2723770,20260105,20991231,
37355155,2.4 ML berahyaluronidase alfa-pmph 2000 UNT/ML / pembrolizumab-pmph 165 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,2723762,20260105,20991231,
37355156,2.4 ML berahyaluronidase alfa-pmph 2000 UNT/ML / pembrolizumab-pmph 165 MG/ML Injection [Keytruda Qlex],Drug,RxNorm,Quant Branded Drug,S,2723769,20260105,20991231,
37355157,4.8 ML berahyaluronidase alfa-pmph 2000 UNT/ML / pembrolizumab-pmph 165 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,2723771,20260105,20991231,
37355158,4.8 ML berahyaluronidase alfa-pmph 2000 UNT/ML / pembrolizumab-pmph 165 MG/ML Injection [Keytruda Qlex],Drug,RxNorm,Quant Branded Drug,S,2723772,20260105,20991231,
37355230,2.5 ML hyaluronidase-nvhy 2000 UNT/ML / nivolumab-nvhy 120 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,2728491,20260105,20991231,
37355231,2.5 ML hyaluronidase-nvhy 2000 UNT/ML / nivolumab-nvhy 120 MG/ML Injection [Opdivo Qvantig],Drug,RxNorm,Quant Branded Drug,S,2728492,20260105,20991231,
1465089,nivolumab-nvhy 120 MG/ML,Drug,RxNorm,Clinical Drug Comp,S,2700792,20250602,20991231,
1465091,hyaluronidase / nivolumab Injectable Product,Drug,RxNorm,Clinical Dose Group,C,2700794,20250602,20991231,
1465092,hyaluronidase / nivolumab Injection,Drug,RxNorm,Clinical Drug Form,S,2700795,20250602,20991231,
1465093,hyaluronidase-nvhy 2000 UNT/ML / nivolumab-nvhy 120 MG/ML Injection,Drug,RxNorm,Clinical Drug,S,2700799,20250602,20991231,
1465095,hyaluronidase-nvhy 2000 UNT/ML / nivolumab-nvhy 120 MG/ML [Opdivo Qvantig],Drug,RxNorm,Branded Drug Comp,S,2700801,20250602,20991231,
1465096,Opdivo Qvantig Injectable Product,Drug,RxNorm,Branded Dose Group,C,2700802,20250602,20991231,
1465097,hyaluronidase / nivolumab Injection [Opdivo Qvantig],Drug,RxNorm,Branded Drug Form,S,2700803,20250602,20991231,
1465098,hyaluronidase-nvhy 2000 UNT/ML / nivolumab-nvhy 120 MG/ML Injection [Opdivo Qvantig],Drug,RxNorm,Branded Drug,S,2700806,20250602,20991231,
1466394,5 ML hyaluronidase-nvhy 2000 UNT/ML / nivolumab-nvhy 120 MG/ML Injection,Drug,RxNorm,Quant Clinical Drug,S,2700798,20250602,20991231,
1466395,5 ML hyaluronidase-nvhy 2000 UNT/ML / nivolumab-nvhy 120 MG/ML Injection [Opdivo Qvantig],Drug,RxNorm,Quant Branded Drug,S,2700805,20250602,20991231,
4003184,Acute panmyelosis with myelofibrosis,Condition,SNOMED,Disorder,S,109991003,20020131,20991231,
37162707,Primary malignant solid pseudopapillary neoplasm of pancreas,Condition,SNOMED,Disorder,S,1197279000,20220228,20991231,
4038846,"Langerhans cell histiocytosis, disseminated",Condition,SNOMED,Disorder,S,118614007,20020131,20991231,
37110584,Primary malignant neoplasm of skin due to and following radiotherapy,Condition,SNOMED,Disorder,S,724866001,20170731,20991231,
1074860,Primary angiosarcoma of left shoulder region,Condition,SNOMED,Disorder,S,1079041000119108,20240601,20991231,
1074861,Primary angiosarcoma of right shoulder region,Condition,SNOMED,Disorder,S,1079081000119103,20240601,20991231,
1074862,Primary Ewing sarcoma of bone of left hand,Condition,SNOMED,Disorder,S,1080011000119109,20240601,20991231,
1074863,Primary Ewing sarcoma of bone of right hand,Condition,SNOMED,Disorder,S,1080061000119107,20240601,20991231,
1074864,Primary malignant fibrous histiocytoma of soft tissue of left shoulder,Condition,SNOMED,Disorder,S,1080831000119109,20240601,20991231,
1074865,Primary large cell carcinoma of left main bronchus,Condition,SNOMED,Disorder,S,1080461000119104,20240601,20991231,
1074866,Primary large cell carcinoma of right main bronchus,Condition,SNOMED,Disorder,S,1080511000119101,20240601,20991231,
1074867,Primary malignant fibrous histiocytoma of soft tissue of left hip,Condition,SNOMED,Disorder,S,1080811000119104,20240601,20991231,
1074868,Primary malignant fibrous histiocytoma of soft tissue of left lower limb,Condition,SNOMED,Disorder,S,1080821000119106,20240601,20991231,
1074869,Primary malignant fibrous histiocytoma of soft tissue of right hip,Condition,SNOMED,Disorder,S,1080851000119103,20240601,20991231,
