MEASUREMENT_CONCEPT_ID,MEASUREMENT_CONCEPT_NAME,UNIT_CONCEPT_ID,UNIT_CONCEPT_NAME,UNIT_CONCEPT_CODE
3000099,Nuclear Ab [Units/volume] in Serum by Immunoassay,8510,unit,[U]
3000285,Sodium [Moles/volume] in Blood,8753,millimole per liter,mmol/L
3000285,Sodium [Moles/volume] in Blood,9557,milliequivalent per liter,10*-3.eq/L
3000483,Glucose [Mass/volume] in Blood,8840,milligram per deciliter,mg/dL
3000905,Leukocytes [#/volume] in Blood by Automated count,8566,thousand,10*3
3000905,Leukocytes [#/volume] in Blood by Automated count,8645,unit per liter,[U]/L
3000905,Leukocytes [#/volume] in Blood by Automated count,8784,cells per microliter,{cells}/uL
3000905,Leukocytes [#/volume] in Blood by Automated count,8785,per cubic millimeter,/mm3
3000905,Leukocytes [#/volume] in Blood by Automated count,8848,thousand per microliter,10*3/uL
3000905,Leukocytes [#/volume] in Blood by Automated count,8961,thousand per cubic millimeter,10*3/mm3
3000905,Leukocytes [#/volume] in Blood by Automated count,9433,number ten,10*
3000905,Leukocytes [#/volume] in Blood by Automated count,9435,thousand per liter,10*3/L
3000905,Leukocytes [#/volume] in Blood by Automated count,9436,thousand per milliliter,10*3/mL
3000905,Leukocytes [#/volume] in Blood by Automated count,9444,billion per liter,10*9/L
3000905,Leukocytes [#/volume] in Blood by Automated count,9446,billion per microliter,10*9/uL
3000963,Hemoglobin [Mass/volume] in Blood,8519,liter,L
3000963,Hemoglobin [Mass/volume] in Blood,8554,percent,%
3000963,Hemoglobin [Mass/volume] in Blood,8636,gram per liter,g/L
3000963,Hemoglobin [Mass/volume] in Blood,8713,gram per deciliter,g/dL
3000963,Hemoglobin [Mass/volume] in Blood,8840,milligram per deciliter,mg/dL
3000963,Hemoglobin [Mass/volume] in Blood,8848,thousand per microliter,10*3/uL
3000963,Hemoglobin [Mass/volume] in Blood,44777568,unit per deciliter,[U]/dL
3001604,Monocytes [#/volume] in Blood,8784,cells per microliter,{cells}/uL
3001604,Monocytes [#/volume] in Blood,8848,thousand per microliter,10*3/uL
3001604,Monocytes [#/volume] in Blood,8961,thousand per cubic millimeter,10*3/mm3
3001657,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood,8566,thousand,10*3
3001775,Smith extractable nuclear Ab [Presence] in Serum by Immunoassay,8695,Ehrlich unit per milliliter,[EU]/mL
3001775,Smith extractable nuclear Ab [Presence] in Serum by Immunoassay,45744813,clinical unit,{CU}
3001784,Prostate Specific Ag Free/Prostate specific Ag.total in Serum or Plasma,8523,ratio,{ratio}
3001784,Prostate Specific Ag Free/Prostate specific Ag.total in Serum or Plasma,8554,percent,%
3001784,Prostate Specific Ag Free/Prostate specific Ag.total in Serum or Plasma,44777555,percent calculated,%{calc}
3002030,Lymphocytes/100 leukocytes in Blood,8554,percent,%
3002030,Lymphocytes/100 leukocytes in Blood,8784,cells per microliter,{cells}/uL
3002131,Prostate specific Ag [Units/volume] in Serum or Plasma,8842,nanogram per milliliter,ng/mL
3002385,Erythrocyte distribution width [Ratio],8554,percent,%
3002417,Prothrombin time (PT) in Blood by Coagulation assay,8555,second,s
3002971,Nuclear Ab [Titer] in Serum by Immunofluorescence,8525,titer,{titer}
3003215,Lymphocytes [#/volume] in Blood by Manual count,8784,cells per microliter,{cells}/uL
3003215,Lymphocytes [#/volume] in Blood by Manual count,8848,thousand per microliter,10*3/uL
3003215,Lymphocytes [#/volume] in Blood by Manual count,8961,thousand per cubic millimeter,10*3/mm3
3003332,Smith extractable nuclear Ab+Ribonucleoprotein extractable nuclear Ab [Units/volume] in Serum,8478,avidity index,{ai}
3003338,MCHC [Mass/volume],8713,gram per deciliter,g/dL
3003721,Smooth muscle Ab [Units/volume] in Serum,8510,unit,[U]
3003785,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,8842,nanogram per milliliter,ng/mL
3004119,Hemoglobin [Mass/volume] in Venous blood,8713,gram per deciliter,g/dL
3004249,Systolic blood pressure,8876,millimeter mercury column,mm[Hg]
3004295,Urea nitrogen [Mass/volume] in Blood,8840,milligram per deciliter,mg/dL
3004327,Lymphocytes [#/volume] in Blood by Automated count,8554,percent,%
3004327,Lymphocytes [#/volume] in Blood by Automated count,8647,per microliter,/uL
3004327,Lymphocytes [#/volume] in Blood by Automated count,8784,cells per microliter,{cells}/uL
3004327,Lymphocytes [#/volume] in Blood by Automated count,8848,thousand per microliter,10*3/uL
3004327,Lymphocytes [#/volume] in Blood by Automated count,8961,thousand per cubic millimeter,10*3/mm3
3004327,Lymphocytes [#/volume] in Blood by Automated count,9444,billion per liter,10*9/L
3004501,Glucose [Mass/volume] in Serum or Plasma,8713,gram per deciliter,g/dL
3004501,Glucose [Mass/volume] in Serum or Plasma,8751,milligram per liter,mg/L
3004501,Glucose [Mass/volume] in Serum or Plasma,8753,millimole per liter,mmol/L
3004501,Glucose [Mass/volume] in Serum or Plasma,8840,milligram per deciliter,mg/dL
3004722,Prolactin [Mass/volume] in Serum or Plasma,8842,nanogram per milliliter,ng/mL
3005013,Prostate Specific Ag Free [Mass/volume] in Serum or Plasma,8842,nanogram per milliliter,ng/mL
3005225,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Pyruvate to lactate reaction,8645,unit per liter,[U]/L
3005307,Sjogrens syndrome-B extractable nuclear Ab [Presence] in Serum by Immunoassay,8478,avidity index,{ai}
3005307,Sjogrens syndrome-B extractable nuclear Ab [Presence] in Serum by Immunoassay,8590,O.D. unit,[OD'U]
3005307,Sjogrens syndrome-B extractable nuclear Ab [Presence] in Serum by Immunoassay,8695,Ehrlich unit per milliliter,[EU]/mL
3005307,Sjogrens syndrome-B extractable nuclear Ab [Presence] in Serum by Immunoassay,45744813,clinical unit,{CU}
3005456,Potassium [Moles/volume] in Blood,8753,millimole per liter,mmol/L
3005456,Potassium [Moles/volume] in Blood,9557,milliequivalent per liter,10*-3.eq/L
3005755,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P,8923,international unit per liter,[iU]/L
3006315,Basophils [#/volume] in Blood,8784,cells per microliter,{cells}/uL
3006315,Basophils [#/volume] in Blood,8848,thousand per microliter,10*3/uL
3006315,Basophils [#/volume] in Blood,8961,thousand per cubic millimeter,10*3/mm3
3006504,Eosinophils/100 leukocytes in Blood,8554,percent,%
3006588,Cancer Ag 15-3 [Units/volume] in Serum or Plasma,8763,unit per milliliter,[U]/mL
3006906,Calcium [Mass/volume] in Serum or Plasma,8713,gram per deciliter,g/dL
3006906,Calcium [Mass/volume] in Serum or Plasma,8751,milligram per liter,mg/L
3006906,Calcium [Mass/volume] in Serum or Plasma,8753,millimole per liter,mmol/L
3006906,Calcium [Mass/volume] in Serum or Plasma,8840,milligram per deciliter,mg/dL
3006923,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,8645,unit per liter,[U]/L
3006923,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,8718,international unit,[iU]
3006923,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,8923,international unit per liter,[iU]/L
3006923,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,8985,international unit per milliliter,[iU]/mL
3006923,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,9254,per liter,/L
3006999,Ribonucleoprotein extractable nuclear Ab [Units/volume] in Serum,8478,avidity index,{ai}
3006999,Ribonucleoprotein extractable nuclear Ab [Units/volume] in Serum,8510,unit,[U]
3006999,Ribonucleoprotein extractable nuclear Ab [Units/volume] in Serum,8590,O.D. unit,[OD'U]
3007220,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,8645,unit per liter,[U]/L
3007220,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,8923,international unit per liter,[iU]/L
3007461,Platelets [#/volume] in Blood,8848,thousand per microliter,10*3/uL
3007461,Platelets [#/volume] in Blood,8961,thousand per cubic millimeter,10*3/mm3
3007835,Cancer Ag 125 [Presence] in Serum or Plasma,8763,unit per milliliter,[U]/mL
3008342,Neutrophils/100 leukocytes in Blood by Automated count,8554,percent,%
3008342,Neutrophils/Leukocytes in Blood by Automated count,8554,percent,%
3008342,Neutrophils/100 leukocytes in Blood by Automated count,8784,cells per microliter,{cells}/uL
3008342,Neutrophils/100 leukocytes in Blood by Automated count,8848,thousand per microliter,10*3/uL
3008342,Neutrophils/Leukocytes in Blood by Automated count,8848,thousand per microliter,10*3/uL
3008598,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,8510,unit,[U]
3008598,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,8729,picomole per liter,pmol/L
3008598,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,8817,nanogram per deciliter,ng/dL
3008598,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,8837,microgram per deciliter,ug/dL
3008598,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,8840,milligram per deciliter,mg/dL
3008598,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,8842,nanogram per milliliter,ng/mL
3008598,Thyroxine (T4) free [Mass/volume] in Serum or Plasma,8845,picogram per milliliter,pg/mL
3008893,Testosterone [Mass/volume] in Serum or Plasma,8817,nanogram per deciliter,ng/dL
3009041,Cardiolipin IgG Ab [Units/volume] in Serum by Immunoassay,9100,IgG phospholipid unit,[GPL'U]
3009201,Thyrotropin [Units/volume] in Serum or Plasma,8719,milliunit per milliliter,10*-3.[U]/mL
3009201,Thyrotropin [Units/volume] in Serum or Plasma,8817,nanogram per deciliter,ng/dL
3009201,Thyrotropin [Units/volume] in Serum or Plasma,8859,microgram per milliliter,ug/mL
3009201,Thyrotropin [Units/volume] in Serum or Plasma,8860,microunit per milliliter,10*-6.[U]/mL
3009201,Thyrotropin [Units/volume] in Serum or Plasma,8923,international unit per liter,[iU]/L
3009201,Thyrotropin [Units/volume] in Serum or Plasma,8985,international unit per milliliter,[iU]/mL
3009201,Thyrotropin [Units/volume] in Serum or Plasma,9040,milli-international unit per liter,10*-3.[iU]/L
3009201,Thyrotropin [Units/volume] in Serum or Plasma,9093,micro-international unit per milliliter,10*-6.[iU]/mL
3009201,Thyrotropin [Units/volume] in Serum or Plasma,9550,milli-international unit per milliliter,10*-3.[iU]/mL
3009201,Thyrotropin [Units/volume] in Serum or Plasma,44777578,milliunit per liter,10*-3.[U]/L
3009201,Thyrotropin [Units/volume] in Serum or Plasma,44777583,micro-international unit per liter,10*-6.[iU]/L
3009214,Lutropin [Units/volume] in Serum or Plasma,8923,international unit per liter,[iU]/L
3009214,Lutropin [Units/volume] in Serum or Plasma,9550,milli-international unit per milliliter,10*-3.[iU]/mL
3009306,Alpha-1-Fetoprotein [Mass/volume] in Serum or Plasma,8842,nanogram per milliliter,ng/mL
3009445,Proteinase 3 Ab [Units/volume] in Serum,8510,unit,[U]
3009445,Proteinase 3 Ab [Units/volume] in Serum,8763,unit per milliliter,[U]/mL
3009445,Proteinase 3 Ab [Units/volume] in Serum,8980,arbitrary unit per milliliter,[arb'U]/mL
3009542,Hematocrit [Volume Fraction] of Blood,8554,percent,%
