SITE_ID,MEASUREMENT_CONCEPT_ID,MEASUREMENT_CONCEPT_NAME,MEASUREMENT_CONCEPT_CODE,MEASUREMENT_VOCABULARY_ID,MEASUREMENT_DOMAIN_ID,MEASUREMENT_STANDARD_CONCEPT,UNIT_CONCEPT_ID,UNIT_CONCEPT_NAME,UNIT_CONCEPT_CODE,UNIT_VOCABULARY_ID,UNIT_DOMAIN_ID,UNIT_STANDARD_CONCEPT,RECORD_COUNT,MEASUREMENT_RECORD_TOTAL,PCT_RECORD_WITHIN_MEASUREMENT,PERSON_COUNT,MEASUREMENT_PERSON_TOTAL,PCT_PERSON_WITHIN_MEASUREMENT,Date Unit Query Run
JH,3000285,Sodium [Moles/volume] in Blood,2947-0,LOINC,Measurement,S,0,(NULL/0),,,,,87,166671,0.0522,85,25861,0.3287,9/19/2025
FH,3000285,Sodium [Moles/volume] in Blood,2947-0,LOINC,Measurement,S,0,(NULL/0),null,null,null,null,2,75702,0.0026,2,20588,0.0097,9/19/2025
DFCI,3000285,Sodium [Moles/volume] in Blood,2947-0,LOINC,Measurement,S,8753,millimole per liter,mmol/L,UCUM,Unit,S,49785,51209,97.2192,18200,18755,97.0408,9/22/2025
JH,3000285,Sodium [Moles/volume] in Blood,2947-0,LOINC,Measurement,S,8753,millimole per liter,mmol/L,UCUM,Unit,S,165762,166671,99.4546,25720,25861,99.4548,9/19/2025
FH,3000285,Sodium [Moles/volume] in Blood,2947-0,LOINC,Measurement,S,8753,millimole per liter,mmol/L,UCUM,Unit,S,43,75702,0.0568,27,20588,0.1311,9/19/2025
DFCI,3000285,Sodium [Moles/volume] in Blood,2947-0,LOINC,Measurement,S,9557,milliequivalent per liter,10*-3.eq/L,UCUM,Unit,S,1424,51209,2.7808,604,18755,3.2205,9/22/2025
JH,3000285,Sodium [Moles/volume] in Blood,2947-0,LOINC,Measurement,S,9557,milliequivalent per liter,10*-3.eq/L,UCUM,Unit,S,822,166671,0.4932,203,25861,0.785,9/19/2025
FH,3000285,Sodium [Moles/volume] in Blood,2947-0,LOINC,Measurement,S,9557,milliequivalent per liter,10*-3.eq/L,UCUM,Unit,S,75657,75702,99.9406,20562,20588,99.8737,9/19/2025
MSKCC,3000285,Sodium [Moles/volume] in Blood,2947-0,LOINC,Measurement,S,9557,milliequivalent per liter,10*-3.eq/L,UCUM,Unit,S,66232,66232,100,14450,14450,100,9/22/2025
JH,3000483,Glucose [Mass/volume] in Blood,2339-0,LOINC,Measurement,S,0,(NULL/0),,,,,71,124395,0.0571,69,23264,0.2966,9/19/2025
DFCI,3000483,Glucose [Mass/volume] in Blood,2339-0,LOINC,Measurement,S,8840,milligram per deciliter,mg/dL,UCUM,Unit,S,1090802,1090802,100,47159,47159,100,9/22/2025
JH,3000483,Glucose [Mass/volume] in Blood,2339-0,LOINC,Measurement,S,8840,milligram per deciliter,mg/dL,UCUM,Unit,S,124324,124395,99.9429,23257,23264,99.9699,9/19/2025
FH,3000483,Glucose [Mass/volume] in Blood,2339-0,LOINC,Measurement,S,8840,milligram per deciliter,mg/dL,UCUM,Unit,S,75478,75478,100,21043,21043,100,9/19/2025
MSKCC,3000483,Glucose [Mass/volume] in Blood,2339-0,LOINC,Measurement,S,8840,milligram per deciliter,mg/dL,UCUM,Unit,S,66595,66595,100,14627,14627,100,9/22/2025
DFCI,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,0,(NULL/0),,,,,5223,4919010,0.1062,1329,239790,0.5542,9/22/2025
JH,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,0,(NULL/0),,,,,15,78370,0.0191,13,27982,0.0465,9/19/2025
FH,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,0,(NULL/0),null,null,null,null,27044,2140223,1.2636,10554,138219,7.6357,9/19/2025
MSKCC,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,0,(NULL/0),null,null,null,null,47,4395794,0.0011,40,201626,0.0198,9/22/2025
DFCI,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,8566,thousand,10*3,UCUM,Unit,S,55,4919010,0.0011,31,239790,0.0129,9/22/2025
DFCI,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,8645,unit per liter,[U]/L,UCUM,Unit,S,1,4919010,0,1,239790,0.0004,9/22/2025
FH,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,8645,unit per liter,[U]/L,UCUM,Unit,S,1,2140223,0,1,138219,0.0007,9/19/2025
DFCI,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,8785,per cubic millimeter,/mm3,UCUM,Unit,S,2,4919010,0,2,239790,0.0008,9/22/2025
DFCI,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,8848,thousand per microliter,10*3/uL,UCUM,Unit,S,4866661,4919010,98.9358,238554,239790,99.4845,9/22/2025
JH,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,8848,thousand per microliter,10*3/uL,UCUM,Unit,S,78351,78370,99.9758,27978,27982,99.9857,9/19/2025
FH,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,8848,thousand per microliter,10*3/uL,UCUM,Unit,S,2113178,2140223,98.7363,137765,138219,99.6715,9/19/2025
