SITE_ID,MEASUREMENT_CONCEPT_ID,MEASUREMENT_CONCEPT_NAME,MEASUREMENT_CONCEPT_CODE,MEASUREMENT_VOCABULARY_ID,MEASUREMENT_DOMAIN_ID,MEASUREMENT_STANDARD_CONCEPT,UNIT_CONCEPT_ID,UNIT_CONCEPT_NAME,UNIT_CONCEPT_CODE,UNIT_VOCABULARY_ID,UNIT_DOMAIN_ID,UNIT_STANDARD_CONCEPT,RECORD_COUNT,MEASUREMENT_RECORD_TOTAL,PCT_RECORD_WITHIN_MEASUREMENT,PERSON_COUNT,MEASUREMENT_PERSON_TOTAL,PCT_PERSON_WITHIN_MEASUREMENT,Date Unit Query Run
JHU,1989242,Jo-1 extractable nuclear Ab [Units/volume] in Serum by Line blot,99069-7,LOINC,Measurement,S,0,(NULL/0),null,null,null,null,362,362,100,196,196,100,12/16/2025
DFCI,3000099,Nuclear Ab [Units/volume] in Serum by Immunoassay,5047-6,LOINC,Measurement,S,0,(NULL/0),,,,,92,1350,6.8148,81,1166,6.9468,12/19/2025
DFCI,3000099,Nuclear Ab [Units/volume] in Serum by Immunoassay,5047-6,LOINC,Measurement,S,8510,unit,[U],UCUM,Unit,S,1258,1350,93.1852,1093,1166,93.7393,12/19/2025
DFCI,3000285,Sodium [Moles/volume] in Blood,2947-0,LOINC,Measurement,S,0,(NULL/0),,,,,658,53312,1.2342,607,19001,3.1946,12/19/2025
JHU,3000285,Sodium [Moles/volume] in Blood,2947-0,LOINC,Measurement,S,0,(NULL/0),null,null,null,null,98,172727,0.0567,95,26763,0.355,12/16/2025
DFCI,3000285,Sodium [Moles/volume] in Blood,2947-0,LOINC,Measurement,S,8753,millimole per liter,mmol/L,UCUM,Unit,S,51517,53312,96.633,18474,19001,97.2265,12/19/2025
JHU,3000285,Sodium [Moles/volume] in Blood,2947-0,LOINC,Measurement,S,8753,millimole per liter,mmol/L,UCUM,Unit,S,171806,172727,99.4668,26620,26763,99.4657,12/16/2025
DFCI,3000285,Sodium [Moles/volume] in Blood,2947-0,LOINC,Measurement,S,9557,milliequivalent per liter,10*-3.eq/L,UCUM,Unit,S,1137,53312,2.1327,469,19001,2.4683,12/19/2025
JHU,3000285,Sodium [Moles/volume] in Blood,2947-0,LOINC,Measurement,S,9557,milliequivalent per liter,10*-3.eq/L,UCUM,Unit,S,823,172727,0.4765,204,26763,0.7622,12/16/2025
MSK,3000285,Sodium [Moles/volume] in Blood,2947-0,LOINC,Measurement,S,9557,milliequivalent per liter,10*-3.eq/L,UCUM,Unit,S,91243,91243,100,19720,19720,100,2/12/2026
DFCI,3000483,Glucose [Mass/volume] in Blood,2339-0,LOINC,Measurement,S,0,(NULL/0),,,,,2498,1027872,0.243,1653,44690,3.6988,12/19/2025
JHU,3000483,Glucose [Mass/volume] in Blood,2339-0,LOINC,Measurement,S,0,(NULL/0),null,null,null,null,77,129091,0.0596,75,24008,0.3124,12/16/2025
DFCI,3000483,Glucose [Mass/volume] in Blood,2339-0,LOINC,Measurement,S,8840,milligram per deciliter,mg/dL,UCUM,Unit,S,1025374,1027872,99.757,44632,44690,99.8702,12/19/2025
JHU,3000483,Glucose [Mass/volume] in Blood,2339-0,LOINC,Measurement,S,8840,milligram per deciliter,mg/dL,UCUM,Unit,S,129014,129091,99.9404,24001,24008,99.9708,12/16/2025
MSK,3000483,Glucose [Mass/volume] in Blood,2339-0,LOINC,Measurement,S,8840,milligram per deciliter,mg/dL,UCUM,Unit,S,93037,93037,100,20902,20902,100,2/12/2026
DFCI,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,0,(NULL/0),,,,,22843,5081621,0.4495,14046,229455,6.1215,12/19/2025
JHU,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,0,(NULL/0),null,null,null,null,17,83482,0.0204,15,29578,0.0507,12/16/2025
DFCI,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,8566,thousand,10*3,UCUM,Unit,S,40,5081621,0.0008,24,229455,0.0105,12/19/2025
DFCI,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,8645,unit per liter,[U]/L,UCUM,Unit,S,1,5081621,0,1,229455,0.0004,12/19/2025
DFCI,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,8784,cells per microliter,{cells}/uL,UCUM,Unit,S,1,5081621,0,1,229455,0.0004,12/19/2025
DFCI,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,8785,per cubic millimeter,/mm3,UCUM,Unit,S,2,5081621,0,2,229455,0.0009,12/19/2025
DFCI,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,8848,thousand per microliter,10*3/uL,UCUM,Unit,S,5023559,5081621,98.8574,228538,229455,99.6004,12/19/2025
JHU,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,8848,thousand per microliter,10*3/uL,UCUM,Unit,S,83461,83482,99.9748,29573,29578,99.9831,12/16/2025
MSK,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,8848,thousand per microliter,10*3/uL,UCUM,Unit,S,5260620,5260620,100,230557,230557,100,2/12/2026
DFCI,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,8961,thousand per cubic millimeter,10*3/mm3,UCUM,Unit,S,35100,5081621,0.6907,5424,229455,2.3639,12/19/2025
JHU,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,8961,thousand per cubic millimeter,10*3/mm3,UCUM,Unit,S,3,83482,0.0036,1,29578,0.0034,12/16/2025
DFCI,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,9433,number ten,10*,UCUM,Unit,S,7,5081621,0.0001,5,229455,0.0022,12/19/2025
DFCI,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,9435,thousand per liter,10*3/L,UCUM,Unit,S,1,5081621,0,1,229455,0.0004,12/19/2025
DFCI,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,9436,thousand per milliliter,10*3/mL,UCUM,Unit,S,4,5081621,0.0001,4,229455,0.0017,12/19/2025
DFCI,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,9444,billion per liter,10*9/L,UCUM,Unit,S,60,5081621,0.0012,36,229455,0.0157,12/19/2025
JHU,3000905,Leukocytes [#/volume] in Blood by Automated count,6690-2,LOINC,Measurement,S,9444,billion per liter,10*9/L,UCUM,Unit,S,1,83482,0.0012,1,29578,0.0034,12/16/2025
